,Product Name,Brand,Price,Rating,Offer,Review Count,Suction Capacity,Size,Offer_clean,Suction_clean,Rating_Performance,suction_bins
0,RUWA VIVA,RUWA,3578,3.8,60% off,594.0,800 CMH,60.0,60.0,800.0,Good,500 - 1000 CMH
1,Kaff KEC60A,Kaff,17490,4.3,64% off,26.0,1150 CMH,75.0,64.0,1150.0,Excellent,1000 - 1500 CMH
2,FABER Hood,FABER,7399,3.7,48% off,46.0,1250 CMH,90.0,48.0,1250.0,Good,1000 - 1500 CMH
3,Elica FLAT,Elica,13999,4.3,49% off,102.0,1600 CMH,90.0,49.0,1600.0,Excellent,1500 -2000 CHM
4,FABER Hood,FABER,17999,4.5,43% off,139.0,1500 CMH,90.0,43.0,1500.0,Excellent,1000 - 1500 CMH
5,Hindware Smart,Hindware,13999,4.1,54% off,1658.0,1500 CMH,90.0,54.0,1500.0,Excellent,1000 - 1500 CMH
6,LIVPURE Evora,LIVPURE,7049,4.1,75% off,748.0,1350 CMH,60.0,75.0,1350.0,Excellent,1000 - 1500 CMH
7,Amplesta Sereno,Amplesta,13999,4.1,67% off,206.0,1500 CMH,90.0,67.0,1500.0,Excellent,1000 - 1500 CMH
8,FABER HOOD,FABER,6099,4.4,69% off,1291.0,1000 CMH,60.0,69.0,1000.0,Excellent,500 - 1000 CMH
9,Elica FLAT,Elica,11999,4.3,49% off,102.0,1500 CMH,60.0,49.0,1500.0,Excellent,1000 - 1500 CMH
10,Hindware Smart,Hindware,3998,3.7,67% off,139.0,1350 CMH,60.0,67.0,1350.0,Good,1000 - 1500 CMH
11,Amplesta EcoFlow,Amplesta,7490,4.1,67% off,4.0,1350 CMH,60.0,67.0,1350.0,Excellent,1000 - 1500 CMH
12,Elica WDFL,Elica,12499,4.4,47% off,2672.0,1350 CMH,60.0,47.0,1350.0,Excellent,1000 - 1500 CMH
13,FABER HOOD,FABER,28340,4.4,63% off,9.0,800 CMH,90.0,63.0,800.0,Excellent,500 - 1000 CMH
14,Hindware Smart,Hindware,11499,4.1,57% off,1658.0,1350 CMH,60.0,57.0,1350.0,Excellent,1000 - 1500 CMH
15,Elica WDFL,Elica,15990,4.3,50% off,418.0,1350 CMH,90.0,50.0,1350.0,Excellent,1000 - 1500 CMH
16,FABER Hood,FABER,4192,3.9,67% off,46.0,1350 CMH,75.0,67.0,1350.0,Good,1000 - 1500 CMH
17,Amplesta Sereno,Amplesta,7199,3.7,30% off,4.0,1100 CMH,60.0,30.0,1100.0,Good,1000 - 1500 CMH
